,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,winning_team_is_lower_id,team_a,team_b,score_a,score_b,ID,result,team_a_seed,team_b_seed,team_a_seed_num,team_b_seed_num
0,1985,136,1116,63,1234,54,N,0,True,1116,1234,63,54,1985_1116_1234,1,X09,X08,9,8
1,1985,136,1120,59,1345,58,N,0,True,1120,1345,59,58,1985_1120_1345,1,Z11,Z06,11,6
2,1985,136,1207,68,1250,43,N,0,True,1207,1250,68,43,1985_1207_1250,1,W01,W16,1,16
3,1985,136,1229,58,1425,55,N,0,True,1229,1425,58,55,1985_1229_1425,1,Y09,Y08,9,8
4,1985,136,1242,49,1325,38,N,0,True,1242,1325,49,38,1985_1242_1325,1,Z03,Z14,3,14
5,1985,136,1246,66,1449,58,N,0,True,1246,1449,66,58,1985_1246_1449,1,X12,X05,12,5
6,1985,136,1256,78,1338,54,N,0,True,1256,1338,78,54,1985_1256_1338,1,Y05,Y12,5,12
7,1985,136,1260,59,1233,58,N,0,False,1233,1260,58,59,1985_1233_1260,0,W13,W04,13,4
8,1985,136,1314,76,1292,57,N,0,False,1292,1314,57,76,1985_1292_1314,0,Z15,Z02,15,2
9,1985,136,1323,79,1333,70,N,0,True,1323,1333,79,70,1985_1323_1333,1,Z07,Z10,7,10
10,1985,136,1326,75,1235,64,N,0,False,1235,1326,64,75,1985_1235_1326,0,Y13,Y04,13,4
11,1985,136,1328,96,1299,83,N,0,False,1299,1328,83,96,1985_1299_1328,0,Y16,Y01,16,1
12,1985,136,1374,85,1330,68,N,0,False,1330,1374,68,85,1985_1330_1374,0,W12,W05,12,5
13,1985,136,1385,83,1380,59,N,0,False,1380,1385,59,83,1985_1380_1385,0,X16,X01,16,1
14,1985,136,1396,60,1439,57,N,0,True,1396,1439,60,57,1985_1396_1439,1,W08,W09,8,9
15,1985,136,1424,85,1361,80,N,0,False,1361,1424,80,85,1985_1361_1424,0,X13,X04,13,4
16,1985,137,1104,50,1112,41,N,0,True,1104,1112,50,41,1985_1104_1112,1,X07,X10,7,10
17,1985,137,1130,55,1403,53,N,0,True,1130,1403,55,53,1985_1130_1403,1,Y11,Y06,11,6
18,1985,137,1181,75,1337,62,N,0,True,1181,1337,75,62,1985_1181_1337,1,Y03,Y14,3,14
19,1985,137,1208,67,1455,59,N,0,True,1208,1455,67,59,1985_1208_1455,1,W06,W11,6,11
20,1985,137,1210,65,1273,58,N,0,True,1210,1273,65,58,1985_1210_1273,1,W02,W15,2,15
